TimeStamp,Source_State_ID,Target_State_ID,TouchedElement_Type,TouchedElement_Label,TouchedElement_Action,TouchedElement_Details,Methods
11/02/2014 9:27:20 PM,S0,S1,,,,,QuickReferenceActivity:onCreate;,
11/02/2014 9:27:45 PM,S1,S2,MenuButton,MenuButton,MenuButtonClicked,,QuickReferenceActivity:onCreateOptionsMenu;,
11/02/2014 9:27:46 PM,S2,S3,MenuItem,[Comp. Rules],MenuItemClicked,,QuickReferenceActivity:onOptionsItemSelected;CompRulesActivity:onCreate;CompRulesActivity:lookUpModeSetup;,
11/02/2014 9:27:48 PM,S3,S4,ListViewCell,1. Game Concepts,ListViewCellClicked,,CompRulesActivity:onListItemClick;CompRulesDetailActivity:onCreate;,
11/02/2014 9:27:52 PM,S4,S5,ListViewCell,100. General,ListViewCellClicked,,CompRulesDetailActivity:onListItemClick;CompRulesDisplayActivity:onCreate;,
11/02/2014 9:27:57 PM,S5,S6,,,,,CompRulesActivity:searchModeSetup;,
11/02/2014 9:27:59 PM,S6,S7,,,,,CompRulesActivity:doSearch;,
11/02/2014 9:27:59 PM,S7,S8,,,,,CompRulesActivity:lookUpModeSetup;,
11/02/2014 9:28:02 PM,S8,S9,MenuButton,MenuButton,MenuButtonClicked,,CompRulesActivity:onCreateOptionsMenu;,
11/02/2014 9:28:03 PM,S9,S10,MenuItem,[DL Counter],MenuItemClicked,,CompRulesActivity:onOptionsItemSelected;DeckListCounterActivity:onCreate;DeckListCounterActivity:updateLabel;,
11/02/2014 9:28:06 PM,S10,S11,Button,2,clicked2,,DeckListCounterActivity:clicked2;DeckListCounterActivity:updateLabel;,
11/02/2014 9:28:07 PM,S11,S12,Button,Undo,clickedUndo,,DeckListCounterActivity:clickedUndo;DeckListCounterActivity:updateLabel;,
11/02/2014 9:28:09 PM,S12,S13,Button,4,clicked4,,DeckListCounterActivity:clicked4;DeckListCounterActivity:updateLabel;,
11/02/2014 9:28:10 PM,S13,S14,Button,Reset,clickedReset,,DeckListCounterActivity:clickedReset;DeckListCounterActivity:updateLabel;,
11/02/2014 9:28:17 PM,S14,S15,MenuItem,[Quick Ref.],MenuItemClicked,,CompRulesActivity:onOptionsItemSelected;QuickReferenceActivity:onCreate;,
