TimeStamp,Source_State_ID,Target_State_ID,TouchedElement_Type,TouchedElement_Label,TouchedElement_Action,TouchedElement_Details,Methods
1415390931.877758,S0,S1,,,,,[MTGJudgeAppDelegate: applicationDidFinishLaunching:];[QuickReferenceController: viewDidLoad];[QuickReferenceController: numberOfSectionsInTableView:];[QuickReferenceController: numberOfSectionsInTableView:];[QuickReferenceController: tableView:numberOfRowsInSection:];[QuickReferenceController: tableView:cellForRowAtIndexPath:];[QuickReferenceController: tableView:cellForRowAtIndexPath:];[QuickReferenceController: tableView:cellForRowAtIndexPath:];[QuickReferenceController: tableView:cellForRowAtIndexPath:];[QuickReferenceController: tableView:cellForRowAtIndexPath:];[QuickReferenceController: tableView:cellForRowAtIndexPath:];[QuickReferenceController: tableView:cellForRowAtIndexPath:];[QuickReferenceController: tableView:cellForRowAtIndexPath:];[QuickReferenceController: copyResourcesToDocuments];[QuickReferenceController: checkForNewFiles];[QuickReferenceController: viewDidAppear:];,
1415390941.808845,S1,S2,UITabBarButton,Comp. Rules,itemClicked,,[CompRulesContents: getSectionName:];[CompRulesContents: getSectionName:];[CompRulesContents: getSectionName:];[CompRulesContents: getSectionName:];[CompRulesContents: getSectionName:];[CompRulesContents: getSectionName:];[CompRulesContents: getSectionName:];,
1415390955.905220,S2,S3,UITableViewCell,1. Game Concepts,tableCellClicked,,[CompRulesContents: getSectionName:];[CompRulesSubContents: getSubtext:];[CompRulesSubContents: getSubtext:];[CompRulesSubContents: getSubtext:];[CompRulesSubContents: getSubtext:];[CompRulesSubContents: getSubtext:];[CompRulesSubContents: getSubtext:];[CompRulesSubContents: getSubtext:];[CompRulesSubContents: getSubtext:];[CompRulesSubContents: getSubtext:];[CompRulesSubContents: getSubtext:];,
1415390971.591849,S3,S4,UITableViewCell,100. General,tableCellClicked,,[CompRulesSubContents: getSubtext:];[CompRulesDetails: setRoot:sub:stop:];[CompRulesSubContents: getSubtext:];,
1415390984.760299,S4,S4,UIWebBrowserView,,,,,
1415390998.953909,S4,S3,UIButton,Back,goBack,,[CompRulesSubContents: getSubtext:];,
1415391009.788432,S3,S2,UIButton,Back,goBack,,,
1415391024.348182,S2,S2,UISearchBarTextField,,,,,
1415391044.524937,S2,S2,UIButton,Cancel,_cancelButtonPressed,,[CompRulesContents: getSectionName:];[CompRulesContents: getSectionName:];[CompRulesContents: getSectionName:];[CompRulesContents: getSectionName:];[CompRulesContents: getSectionName:];[CompRulesContents: getSectionName:];[CompRulesContents: getSectionName:];[CompRulesContents: getSectionName:];,
1415391057.670084,S2,S10,UITabBarButton,More,itemClicked,,,
1415391064.208910,S10,S11,UITableViewCell,Decklist Counter,tableCellClicked,,,
1415391073.399879,S11,S11,UIButton,2,button2Pressed,,[DecklistCounterController: updateLabel];[DecklistCounterController: button2Pressed];,
1415391082.009574,S11,S11,UIButton,Undo,undoPressed,,[DecklistCounterController: updateLabel];[DecklistCounterController: undoPressed];,
1415391092.928736,S11,S11,UIButton,4,button4Pressed,,[DecklistCounterController: updateLabel];[DecklistCounterController: button4Pressed];,
1415391102.114514,S11,S11,UIButton,Reset,resetPressed,,[DecklistCounterController: updateLabel];[DecklistCounterController: resetPressed];,
1415391115.992690,S11,S10,UITabBarButton,More,itemClicked,,[DecklistCounterController: viewDidDisappear:];,
1415391130.136599,S10,S17,UITableViewCell,Draft Timer,tableCellClicked,,[DraftTimer: updateUI];[DraftTimer: secondsForPick:];[DraftTimer: updateTime:];[DraftTimer: setTopLabelText:];[DraftTimer: updateUI];[DraftTimer: startPick];,
1415391163.614882,S17,S17,UIButton,Next,nextClicked:,,[DraftTimer: secondsForPick:];[DraftTimer: updateTime:];[DraftTimer: setTopLabelText:];[DraftTimer: updateUI];[DraftTimer: startPick];[DraftTimer: nextClicked:];,
1415391175.429488,S17,S17,UIButton,Previous,previousClicked:,,[DraftTimer: secondsForPick:];[DraftTimer: updateTime:];[DraftTimer: setTopLabelText:];[DraftTimer: updateUI];[DraftTimer: startPick];[DraftTimer: previousClicked:];,
1415391190.374885,S17,S10,UIButton,Back,goBack,,,
1415391213.137769,S10,S21,UITableViewCell,Check for Updates,tableCellClicked,,[CheckForUpdatesController: checkForUpdatesAsync];[CheckForUpdatesController: checkForUpdates];,
1415391226.017402,S21,S10,UIButton,Back,goBack,,,
1415391237.353114,S10,S1,UITabBarButton,Quick Ref.,itemClicked,,[QuickReferenceController: copyResourcesToDocuments];[QuickReferenceController: checkForNewFiles];[QuickReferenceController: viewDidAppear:];,
