State_ID,UIElement_ID,UIElement_Type,UIElement_Label,UIElement_Action,UIElement_Details
S1,E1,UITabBar,,itemClicked,5,
S1,E2,UITableView,,tableCellClicked,8,
S3,E1,UITabBar,,itemClicked,5,
S3,E2,UITableView,,tableCellClicked,22,
S4,E1,UITabBar,,itemClicked,5,
S4,E2,UIWebView,,,,
S2,E1,UITabBar,,itemClicked,5,
S2,E2,UITableView,,tableCellClicked,10,
S2,E3,UIToolbar,,,,
S2,E4,UISearchBar,,,,
S10,E1,UITabBar,,itemClicked,5,
S10,E2,UITableView,,tableCellClicked,3,
S11,E1,UITabBar,,itemClicked,5,
S11,E2,UIButton,1,button1Pressed,,
S11,E3,UIButton,2,button2Pressed,,
S11,E4,UIButton,3,button3Pressed,,
S11,E5,UIButton,4,button4Pressed,,
S11,E6,UILabel,Total: 0 (+0),,,
S11,E7,UIButton,Reset,resetPressed,,
S11,E8,UIButton,Undo,undoPressed,,
S17,E1,UITabBar,,itemClicked,5,
S17,E2,UILabel,40.00,,,
S17,E3,UIButton,Start,startClicked:,,
S17,E4,UIButton,Next,nextClicked:,,
S17,E5,UIButton,Previous,previousClicked:,,
S17,E6,UILabel,Pack 1; Pick 1,,,
S17,E7,UILabel,Open your first pack and count out the cards face down in front of you. You should have 14 cards.,,,
S21,E1,UITabBar,,itemClicked,5,
S21,E2,UILabel,Note:  The app automatically checks for updates approximately every 2 hours.,,,
S21,E3,UILabel,Updates available!,,,
