State_ID,UIElement_ID,UIElement_Type,UIElement_Label,UIElement_Action,UIElement_Details
S1,E1,UITabBar,,itemClicked,5,
S1,E2,UITableView,,tableCellClicked,8,
S2,E1,UIImageView,,,,
S3,E1,UITableView,,tableCellClicked,8,
S4,E1,UIImageView,,,,
S5,E1,UITableView,,tableCellClicked,8,
S6,E1,UIImageView,,,,
S7,E1,UITableView,,tableCellClicked,8,
S8,E1,UITabBar,,itemClicked,5,
S8,E2,UITableView,,tableCellClicked,12628,
S8,E3,UISearchBar,,,,
S9,E1,UITabBar,,itemClicked,5,
S9,E2,UITableView,,tableCellClicked,12628,
S9,E3,UISearchBar,,,,
S10,E1,UITabBar,,itemClicked,5,
S10,E2,UITableView,,tableCellClicked,6,
S11,E1,UITabBar,,itemClicked,5,
S11,E2,UITableView,,tableCellClicked,5,
S12,E1,UITabBar,,itemClicked,5,
S12,E2,UITextView,,,,
S12,E3,UIImageView,,,,
S13,E1,UITabBar,,itemClicked,5,
S13,E2,UITextView,,,,
S13,E3,UIImageView,,,,
S14,E1,UITabBar,,itemClicked,5,
S14,E2,UITableView,,tableCellClicked,5,
S15,E1,UITabBar,,itemClicked,5,
S15,E2,UITableView,,tableCellClicked,6,
