TimeStamp,State_ID,State_ClassName,State_Title,State_ScreenshotPath,State_NumberOfElements
1415828550.670720,S1,QuickReferenceController,Quick Ref.,S-1415828550.670791-1.jpg,2,
1415828616.314271,S2,QuickReferenceDetailController,Quick Reference,S-1415828616.314347-2.jpg,1,
1415828626.919305,S3,QuickReferenceController,Quick Ref.,S-1415828626.919377-3.jpg,1,
1415828634.187227,S4,QuickReferenceDetailController,Quick Reference,S-1415828634.187311-4.jpg,1,
1415828642.325329,S5,QuickReferenceController,Quick Ref.,S-1415828642.325400-5.jpg,1,
1415828653.219671,S6,QuickReferenceDetailController,Quick Reference,S-1415828653.219742-6.jpg,1,
1415828661.028920,S7,QuickReferenceController,Quick Ref.,S-1415828661.028992-7.jpg,1,
1415828674.052580,S8,OracleLookupController,,S-1415828674.052651-8.jpg,3,
1415828688.763981,S9,OracleLookupController,,S-1415828688.764034-9.jpg,3,
1415828698.948575,S10,IPGContents,IPG,S-1415828698.948647-10.jpg,2,
1415828710.711670,S11,IPGSubContents,Judging at Regular REL,S-1415828710.711743-11.jpg,2,
1415828721.777918,S12,IPGDetail,Resources,S-1415828721.777990-12.jpg,3,
1415828734.436400,S13,IPGDetail,Resources,S-1415828734.436472-13.jpg,3,
1415828743.067733,S14,IPGSubContents,Judging at Regular REL,S-1415828743.067806-14.jpg,2,
1415828750.594511,S15,IPGContents,IPG,S-1415828750.594585-15.jpg,2,
