State_ID,UIElement_ID,UIElement_Type,UIElement_Label,UIElement_Action,UIElement_Details
S1,E1,UITabBar,,itemClicked,3,
S1,E2,UIButton,,,,
S1,E3,UILabel,Touch Raccoon To Report,,,
S1,E1,UITabBar,,itemClicked,3,
S1,E2,UIButton,,,,
S1,E3,UILabel,Touch Raccoon To Report,,,
S2,E1,UITabBar,,itemClicked,3,
S2,E2,UITableView,,tableCellClicked,0,
S5,E1,_MFMailComposePlaceholderView,,,,
S5,E2,MFHeaderLabelView,To:,,,
S5,E3,MFHeaderLabelView,Cc/Bcc:,,,
S5,E4,MFHeaderLabelView,Subject:,,,
S5,E5,UITextField,,textChanged:,,
S5,E6,UIImageView,,,,
S5,E7,UIImageView,,,,
S5,E8,UIButton,,RightBarButtonItem,,
S5,E9,UIButton,,LeftBarButtonItem,,
S5,E1,_MFMailComposePlaceholderView,,,,
S5,E2,MFHeaderLabelView,To:,,,
S5,E3,MFHeaderLabelView,Cc/Bcc:,,,
S5,E4,MFHeaderLabelView,Subject:,,,
S5,E5,UITextField,,textChanged:,,
S5,E6,UIImageView,,,,
S5,E7,UIImageView,,,,
S5,E8,UIButton,,RightBarButtonItem,,
S5,E9,UIButton,,LeftBarButtonItem,,
S5,E1,_MFMailComposePlaceholderView,,,,
S5,E2,MFHeaderLabelView,To:,,,
S5,E3,MFHeaderLabelView,Cc/Bcc:,,,
S5,E4,MFHeaderLabelView,Subject:,,,
S5,E5,UITextField,,textChanged:,,
S5,E6,UIImageView,,,,
S5,E7,UIImageView,,,,
S5,E8,UIButton,,RightBarButtonItem,,
S5,E9,UIButton,,LeftBarButtonItem,,
S3,E1,UITabBar,,itemClicked,3,
S3,E2,UITextView,,,,
S3,E3,UIImageView,,,,
S3,E4,UIImageView,,,,
S3,E5,UIButton,,LeftBarButtonItem,,
S3,E6,UIScrollView,,,,
S3,E7,UITextView,,,,
S3,E8,UIImageView,,,,
S3,E9,UITextView,,,,
S3,E10,UIImageView,,,,
S3,E11,UITextView,,,,
S3,E12,UIImageView,,,,
S3,E13,UILabel,Have Fun!,,,
S3,E14,UIImageView,,,,
S3,E15,UIImageView,,,,
