State_ID,UIElement_ID,UIElement_Type,UIElement_Label,UIElement_Action,UIElement_Details
S1,E1,UITabBar,,itemClicked,3,
S1,E2,UIButton,,,,
S1,E3,UILabel,Touch Raccoon To Report,,,
S1,E1,UITabBar,,itemClicked,3,
S1,E2,UIButton,,,,
S1,E3,UILabel,Touch Raccoon To Report,,,
S2,E1,UITabBar,,itemClicked,3,
S2,E2,UITableView,,tableCellClicked,0,
S3,E1,UITabBar,,itemClicked,3,
S3,E2,UITextView,,,,
S3,E3,UIImageView,,,,
S3,E4,UIImageView,,,,
S3,E5,UIButton,,LeftBarButtonItem,,
S4,E1,UITabBar,,itemClicked,3,
S4,E2,UITextView,,,,
S4,E3,UIImageView,,,,
S4,E4,UIImageView,,,,
S4,E5,UIButton,,LeftBarButtonItem,,
S5,E1,_MFMailComposePlaceholderView,,,,
S5,E2,MFHeaderLabelView,To:,,,
S5,E3,MFHeaderLabelView,Cc/Bcc:,,,
S5,E4,MFHeaderLabelView,Subject:,,,
S5,E5,UITextField,,textChanged:,,
S5,E6,UIImageView,,,,
S5,E7,UIImageView,,,,
S5,E8,UIButton,,RightBarButtonItem,,
S5,E9,UIButton,,LeftBarButtonItem,,
S5,E1,_MFMailComposePlaceholderView,,,,
S5,E2,MFHeaderLabelView,To:,,,
S5,E3,MFHeaderLabelView,Cc/Bcc:,,,
S5,E4,MFHeaderLabelView,Subject:,,,
S5,E5,UITextField,,textChanged:,,
S5,E6,UIImageView,,,,
S5,E7,UIImageView,,,,
S5,E8,UIButton,,RightBarButtonItem,,
S5,E9,UIButton,,LeftBarButtonItem,,
S5,E1,_MFMailComposePlaceholderView,,,,
S5,E2,MFHeaderLabelView,To:,,,
S5,E3,MFHeaderLabelView,Cc/Bcc:,,,
S5,E4,MFHeaderLabelView,Subject:,,,
S5,E5,UITextField,,textChanged:,,
S5,E6,UIImageView,,,,
S5,E7,UIImageView,,,,
S5,E8,UIButton,,RightBarButtonItem,,
S5,E9,UIButton,,LeftBarButtonItem,,
S6,E1,UITabBar,,itemClicked,3,
S6,E2,UITextView,,,,
S6,E3,UIImageView,,,,
S6,E4,UIImageView,,,,
S6,E5,UIButton,,LeftBarButtonItem,,
S6,E1,UITabBar,,itemClicked,3,
S6,E2,UITextView,,,,
S6,E3,UIImageView,,,,
S6,E4,UIImageView,,,,
S6,E5,UIButton,,LeftBarButtonItem,,
S7,E1,UITabBar,,itemClicked,3,
S7,E2,UITextView,,,,
S7,E3,UIImageView,,,,
S7,E4,UIImageView,,,,
S7,E5,UIButton,,LeftBarButtonItem,,
S7,E6,UIScrollView,,,,
S7,E7,UITextView,,,,
S7,E8,UIImageView,,,,
S7,E9,UITextView,,,,
S7,E10,UIImageView,,,,
S7,E11,UITextView,,,,
S7,E12,UIImageView,,,,
S7,E13,UILabel,Have Fun!,,,
S7,E14,UIImageView,,,,
S7,E15,UIImageView,,,,
S8,E1,UITabBar,,itemClicked,3,
S8,E2,UITextView,,,,
S8,E3,UIImageView,,,,
S8,E4,UIImageView,,,,
S8,E5,UIButton,,LeftBarButtonItem,,
S8,E6,UIScrollView,,,,
S8,E7,UITextView,,,,
S8,E8,UIImageView,,,,
S8,E9,UITextView,,,,
S8,E10,UIImageView,,,,
S8,E11,UITextView,,,,
S8,E12,UIImageView,,,,
S8,E13,UILabel,Have Fun!,,,
S8,E14,UIImageView,,,,
S8,E15,UIImageView,,,,
S9,E1,UITabBar,,itemClicked,3,
S9,E2,UITextView,,,,
S9,E3,UIImageView,,,,
S9,E4,UIImageView,,,,
S9,E5,UIButton,,LeftBarButtonItem,,
S9,E6,UIScrollView,,,,
S9,E7,UITextView,,,,
S9,E8,UIImageView,,,,
S9,E9,UITextView,,,,
S9,E10,UIImageView,,,,
S9,E11,UITextView,,,,
S9,E12,UIImageView,,,,
S9,E13,UILabel,Have Fun!,,,
S9,E14,UIImageView,,,,
S9,E15,UIImageView,,,,
S10,E1,UITabBar,,itemClicked,3,
S10,E2,UIButton,,,,
S10,E3,UILabel,Touch Raccoon To Report,,,
