TimeStamp,State_ID,State_ClassName,State_Title,State_ScreenshotPath,State_NumberOfElements
1415393113.839176,S1,ViewController,Report,S-1415393113.839244-1.jpg,3,
1415393113.916373,S1,ViewController,Report,S-1415393113.916407-1.jpg,3,
1415393153.168493,S2,DetailViewController,Past Reports,S-1415393153.168539-2.jpg,2,
1415393161.100317,S3,AboutViewController,About,S-1415393161.100351-3.jpg,5,
1415393173.048709,S4,AboutViewController,About,S-1415393173.048799-4.jpg,5,
1415393186.100759,S5,MFMailComposeInternalViewController,,S-1415393186.100805-5.jpg,9,
1415393186.600033,S5,MFMailComposeInternalViewController,,S-1415393186.600071-5.jpg,9,
1415393186.605992,S5,MFMailComposeInternalViewController,,S-1415393186.606023-5.jpg,9,
1415393201.970915,S6,AboutViewController,About,S-1415393201.970985-6.jpg,5,
1415393202.046933,S6,AboutViewController,About,S-1415393202.046966-6.jpg,5,
1415393232.154005,S7,AboutViewController,About,S-1415393232.154136-7.jpg,15,
1415393247.627168,S8,AboutViewController,About,S-1415393247.627343-8.jpg,15,
1415393261.457986,S9,AboutViewController,About,S-1415393261.458064-9.jpg,15,
1415393273.447191,S10,ViewController,Report,S-1415393273.447302-10.jpg,3,
1415393280.695817,S11,_UIModalItemAppViewController,,S-1415393280.695883-11.jpg,,
1415393281.016639,S11,_UIModalItemAppViewController,,S-1415393281.016714-11.jpg,,
1415393290.903616,S12,_UIModalItemAppViewController,,S-1415393290.903673-12.jpg,,
