State_ID,UIElement_ID,UIElement_Type,UIElement_Label,UIElement_Action,UIElement_Details
S1,E2,ActionBarOverlayLayout,,,,
S1,E9,ImageView,,,,
S1,E10,TextView,YDP Care Plan,,,
S1,E12,ImageView,,,,
S1,E13,TextView,Notify YDP,,,
S1,E23,EditText,,,,
S1,E24,EditText,,,,
S1,E25,Button,Login,,,
S1,E33,Button,Call YDP,,,
S1,E34,Button,Email YDP,,,
S1,E35,Button,More About YDP,,,
S1,E36,ImageView,,,,
S1,E38,ActionBarContainer,,,,
S1,E39,ActionBarView,,,,
S1,E41,ActionBarView$HomeView,,,,
S1,E42,ImageView,,,,
S1,E43,ImageView,,,,
S1,E45,ImageView,,,,
S1,E47,TextView,Your Doctor Program,,,
S1,E48,TextView,,,,
S1,E49,ActionMenuView,,,,
S1,E50,ActionBarContextView,,,,
S1,E51,ImageView,,,,
S1,E52,ActionBarContainer,,,,
S4,E2,ActionBarOverlayLayout,,,,
S4,E9,ImageView,,,,
S4,E10,TextView,YDP Care Plan,,,
S4,E12,ImageView,,,,
S4,E13,TextView,Notify YDP,,,
S4,E23,EditText,,,,
S4,E24,EditText,,,,
S4,E25,Button,Login,,,
S4,E27,CameraPreview,,,,
S4,E34,Button,Call YDP,,,
S4,E35,Button,Email YDP,,,
S4,E36,Button,More About YDP,,,
S4,E37,ImageView,,,,
S4,E39,ActionBarContainer,,,,
S4,E40,ActionBarView,,,,
S4,E42,ActionBarView$HomeView,,,,
S4,E43,ImageView,,,,
S4,E44,ImageView,,,,
S4,E46,ImageView,,,,
S4,E48,TextView,Your Doctor Program,,,
S4,E49,TextView,,,,
S4,E50,ActionMenuView,,,,
S4,E51,ActionBarContextView,,,,
S4,E52,ImageView,,,,
S4,E53,ActionBarContainer,,,,
