State_ID,UIElement_ID,UIElement_Type,UIElement_Label,UIElement_Action,UIElement_Details
S1,E7,Button,Call YDP,,,
S1,E8,Button,Email YDP,,,
S1,E9,Button,More About YDP,,,
S1,E10,ImageView,,,,
S2,E2,ActionBarOverlayLayout,,,,
S2,E9,ImageView,,,,
S2,E10,TextView,YDP Care Plan,,,
S2,E12,ImageView,,,,
S2,E13,TextView,Notify YDP,,,
S2,E23,EditText,,,,
S2,E24,EditText,,,,
S2,E25,Button,Login,,,
S2,E33,Button,Call YDP,,,
S2,E34,Button,Email YDP,,,
S2,E35,Button,More About YDP,,,
S2,E36,ImageView,,,,
S2,E38,ActionBarContainer,,,,
S2,E39,ActionBarView,,,,
S2,E41,ActionBarView$HomeView,,,,
S2,E42,ImageView,,,,
S2,E43,ImageView,,,,
S2,E45,ImageView,,,,
S2,E47,TextView,Your Doctor Program,,,
S2,E48,TextView,,,,
S2,E49,ActionMenuView,,,,
S2,E50,ActionBarContextView,,,,
S2,E51,ImageView,,,,
S2,E52,ActionBarContainer,,,,
S3,E2,ActionBarOverlayLayout,,,,
S3,E9,ImageView,,,,
S3,E10,TextView,YDP Care Plan,,,
S3,E12,ImageView,,,,
S3,E13,TextView,Notify YDP,,,
S3,E23,EditText,,,,
S3,E24,EditText,,,,
S3,E25,Button,Login,,,
S3,E33,Button,Call YDP,,,
S3,E34,Button,Email YDP,,,
S3,E35,Button,More About YDP,,,
S3,E36,ImageView,,,,
S3,E38,ActionBarContainer,,,,
S3,E39,ActionBarView,,,,
S3,E41,ActionBarView$HomeView,,,,
S3,E42,ImageView,,,,
S3,E43,ImageView,,,,
S3,E45,ImageView,,,,
S3,E47,TextView,Your Doctor Program,,,
S3,E48,TextView,,,,
S3,E49,ActionMenuView,,,,
S3,E50,ActionBarContextView,,,,
S3,E51,ImageView,,,,
S3,E52,ActionBarContainer,,,,
S4,E2,ActionBarOverlayLayout,,,,
S4,E9,ImageView,,,,
S4,E10,TextView,YDP Care Plan,,,
S4,E12,ImageView,,,,
S4,E13,TextView,Notify YDP,,,
S4,E23,EditText,,,,
S4,E24,EditText,,,,
S4,E25,Button,Login,,,
S4,E27,CameraPreview,,,,
S4,E34,Button,Call YDP,,,
S4,E35,Button,Email YDP,,,
S4,E36,Button,More About YDP,,,
S4,E37,ImageView,,,,
S4,E39,ActionBarContainer,,,,
S4,E40,ActionBarView,,,,
S4,E42,ActionBarView$HomeView,,,,
S4,E43,ImageView,,,,
S4,E44,ImageView,,,,
S4,E46,ImageView,,,,
S4,E48,TextView,Your Doctor Program,,,
S4,E49,TextView,,,,
S4,E50,ActionMenuView,,,,
S4,E51,ActionBarContextView,,,,
S4,E52,ImageView,,,,
S4,E53,ActionBarContainer,,,,
S5,E2,ActionBarOverlayLayout,,,,
S5,E9,ImageView,,,,
S5,E10,TextView,YDP Care Plan,,,
S5,E12,ImageView,,,,
S5,E13,TextView,Notify YDP,,,
S5,E23,EditText,,,,
S5,E24,EditText,,,,
S5,E25,Button,Login,,,
S5,E33,Button,Call YDP,,,
S5,E34,Button,Email YDP,,,
S5,E35,Button,More About YDP,,,
S5,E36,ImageView,,,,
S5,E38,ActionBarContainer,,,,
S5,E39,ActionBarView,,,,
S5,E41,ActionBarView$HomeView,,,,
S5,E42,ImageView,,,,
S5,E43,ImageView,,,,
S5,E45,ImageView,,,,
S5,E47,TextView,Your Doctor Program,,,
S5,E48,TextView,,,,
S5,E49,ActionMenuView,,,,
S5,E50,ActionBarContextView,,,,
S5,E51,ImageView,,,,
S5,E52,ActionBarContainer,,,,
