TimeStamp,Source_State_ID,Target_State_ID,TouchedElement_Type,TouchedElement_Label,TouchedElement_Action,TouchedElement_Details,Methods
1415827393.857387,S0,S1,,,,,[YDPLogin: initWithNibName:bundle:];[ZBarReaderViewImpl: _initWithImageScanner:];[ZBarReaderViewImpl: initSubviews];[ZBarImageScanner: setSymbology:config:to:];[ZBarImageScanner: setSymbology:config:to:];[Cipher: initWithKey:];[ZBarCameraSimulator: initWithViewController:];[YDPAppDelegate: application:supportedInterfaceOrientationsForWindow:];[YDPAppDelegate: application:supportedInterfaceOrientationsForWindow:];[YDPAppDelegate: application:supportedInterfaceOrientationsForWindow:];[YDPAppDelegate: application:supportedInterfaceOrientationsForWindow:];[YDPAppDelegate: application:supportedInterfaceOrientationsForWindow:];[ZBarReaderViewImpl: resetTracking];[YDPAppDelegate: application:supportedInterfaceOrientationsForWindow:];[YDPAppDelegate: application:supportedInterfaceOrientationsForWindow:];[YDPAppDelegate: application:supportedInterfaceOrientationsForWindow:];[YDPAppDelegate: application:didFinishLaunchingWithOptions:];[YDPAppDelegate: applicationDidBecomeActive:];[YDPAppDelegate: application:supportedInterfaceOrientationsForWindow:];[ZBarReaderViewImpl: resetTracking];[ZBarReaderViewImpl: start];[ZBarReaderViewImpl: onVideoStart];,
1415827510.101523,S1,S2,UITabBarButton,Notify YDP,itemClicked,,[ZBarReaderViewImpl: stop];[YDPAppDelegate: application:supportedInterfaceOrientationsForWindow:];[ZBarReaderViewImpl: onVideoStop];,
1415827556.231833,S2,S3,UIButton,More About YDP,moreAboutYDP:,,[YDPAppDelegate: application:supportedInterfaceOrientationsForWindow:];[YDPViewController: moreAboutYDP:];[YDPAppDelegate: application:supportedInterfaceOrientationsForWindow:];[MBProgressHUD: updateIndicators];[MBProgressHUD: updateLabelText:];[MBProgressHUD: updateDetailsLabelText:];[MBProgressHUD: initWithFrame:];[MBProgressHUD: setTransformForCurrentOrientation:];[MBProgressHUD: initWithView:];[MBProgressHUD: showUsingAnimation:];[MBProgressHUD: show:];[MBProgressHUD: updateLabelText:];[YDPAppDelegate: startSpinningLoaderWithMessage:];[MBProgressHUD: layoutSubviews];[MBProgressHUD: drawRect:];[MBProgressHUD: updateLabelText:];[YDPAppDelegate: startSpinningLoaderWithMessage:];[MBProgressHUD: layoutSubviews];[MBProgressHUD: drawRect:];,
1415827572.383565,S3,S3,UIStatusBarForegroundView,,,,[MBProgressHUD: updateLabelText:];[YDPAppDelegate: startSpinningLoaderWithMessage:];[YDPAppDelegate: stopSpinningLoader];[MBProgressHUD: layoutSubviews];[MBProgressHUD: drawRect:];[YDPAppDelegate: stopSpinningLoader];[MBProgressHUD: hideUsingAnimation:];[MBProgressHUD: hide:];[YDPAppDelegate: stopSpinningLoader];[MBProgressHUD: done];[MBProgressHUD: animationFinished:finished:context:];,
1415827585.024527,S3,S3,UIWebBrowserView,,,,,
1415827610.574146,S3,S2,UIButton,Close,Logout:,,[YDPAppDelegate: application:supportedInterfaceOrientationsForWindow:];,
1415827610.574146,S3,S2,UIButton,Close,Logout:,,,
1415827637.066298,S2,S2,UIButton,Call YDP,OnCallYDP:,,[YDPViewController: OnCallYDP:];,
1415827672.748625,S2,S2,UITabBarButton,YDP Login,itemClicked,,[ZBarReaderViewImpl: resetTracking];[ZBarReaderViewImpl: start];[ZBarReaderViewImpl: onVideoStart];,
1415827690.777422,S2,S9,UIButton,Login,Login,,[YDPAppDelegate: application:supportedInterfaceOrientationsForWindow:];[YDPAppDelegate: application:supportedInterfaceOrientationsForWindow:];[YDPAppDelegate: application:supportedInterfaceOrientationsForWindow:];[YDPAppDelegate: application:supportedInterfaceOrientationsForWindow:];[YDPAppDelegate: application:supportedInterfaceOrientationsForWindow:];[YDPAppDelegate: application:supportedInterfaceOrientationsForWindow:];[YDPAppDelegate: application:supportedInterfaceOrientationsForWindow:];[YDPAppDelegate: application:supportedInterfaceOrientationsForWindow:];[YDPAppDelegate: application:supportedInterfaceOrientationsForWindow:];[YDPAppDelegate: application:supportedInterfaceOrientationsForWindow:];[YDPAppDelegate: application:supportedInterfaceOrientationsForWindow:];[YDPAppDelegate: application:supportedInterfaceOrientationsForWindow:];[YDPAppDelegate: application:supportedInterfaceOrientationsForWindow:];[YDPAppDelegate: application:supportedInterfaceOrientationsForWindow:];[YDPAppDelegate: application:supportedInterfaceOrientationsForWindow:];[YDPAppDelegate: application:supportedInterfaceOrientationsForWindow:];[YDPAppDelegate: application:supportedInterfaceOrientationsForWindow:];[YDPAppDelegate: application:supportedInterfaceOrientationsForWindow:];[YDPAppDelegate: application:supportedInterfaceOrientationsForWindow:];[YDPAppDelegate: application:supportedInterfaceOrientationsForWindow:];[YDPAppDelegate: application:supportedInterfaceOrientationsForWindow:];[YDPAppDelegate: application:supportedInterfaceOrientationsForWindow:];[YDPLogin: Login];,
1415827690.777422,S2,S9,UIButton,Login,Login,,,
1415827700.963873,S9,S9,UITableViewCell,Ok,tableCellClicked,,[YDPAppDelegate: application:supportedInterfaceOrientationsForWindow:];[YDPAppDelegate: application:supportedInterfaceOrientationsForWindow:];,
1415827737.338944,S9,S2,UITabBarButton,Notify YDP,itemClicked,,[ZBarReaderViewImpl: stop];[ZBarReaderViewImpl: onVideoStop];,
1415827751.541427,S2,S2,UIButton,Email YDP,showComposer:,,[YDPViewController: displayComposerSheet:];[YDPViewController: showComposer:];[YDPAppDelegate: application:supportedInterfaceOrientationsForWindow:];[YDPAppDelegate: application:supportedInterfaceOrientationsForWindow:];[YDPAppDelegate: application:supportedInterfaceOrientationsForWindow:];,
1415827751.541427,S2,S2,UIButton,Email YDP,showComposer:,,,
1415827751.541427,S2,S2,UIButton,Email YDP,showComposer:,,[YDPAppDelegate: application:supportedInterfaceOrientationsForWindow:];[YDPViewController: mailComposeController:didFinishWithResult:error:];,
