State_ID,UIElement_ID,UIElement_Type,UIElement_Label,UIElement_Action,UIElement_Details
S1,E1,UITabBar,,itemClicked,2,
S1,E2,UILabel,YDP Login,,,
S1,E3,UIImageView,,,,
S1,E4,UITextField,,,,
S1,E5,UITextField,,,,
S1,E6,UIButton,Login,Login,,
S1,E7,UILabel,Camera Simulation  Tap and hold with two "fingers" to select image,,,
S2,E1,UITabBar,,itemClicked,2,
S2,E2,UIImageView,,,,
S2,E3,UILabel,Notify YDP,,,
S2,E4,UIButton,More About YDP,moreAboutYDP:,,
S2,E5,UIButton,Email YDP,showComposer:,,
S2,E6,UIButton,Call YDP,OnCallYDP:,,
S2,E7,UIImageView,,,,
S3,E1,UIWebView,,,,
S3,E2,UIButton,Close,Logout:,,
