State_ID,UIElement_ID,UIElement_Type,UIElement_Label,UIElement_Action,UIElement_Details
S1,E1,UITabBar,,itemClicked,2,
S1,E2,UILabel,YDP Login,,,
S1,E3,UIImageView,,,,
S1,E4,UITextField,,,,
S1,E5,UITextField,,,,
S1,E6,UIButton,Login,Login,,
S1,E7,UILabel,Camera Simulation  Tap and hold with two "fingers" to select image,,,
S2,E1,UITabBar,,itemClicked,2,
S2,E2,UIImageView,,,,
S2,E3,UILabel,Notify YDP,,,
S2,E4,UIButton,More About YDP,moreAboutYDP:,,
S2,E5,UIButton,Email YDP,showComposer:,,
S2,E6,UIButton,Call YDP,OnCallYDP:,,
S2,E7,UIImageView,,,,
S3,E1,UIWebView,,,,
S3,E2,UIButton,Close,Logout:,,
S4,E1,UIWebView,,,,
S4,E2,UIButton,Close,Logout:,,
S5,E1,UIWebView,,,,
S5,E2,UIButton,Close,Logout:,,
S6,E1,UITabBar,,itemClicked,2,
S6,E2,UIImageView,,,,
S6,E3,UILabel,Notify YDP,,,
S6,E4,UIButton,More About YDP,moreAboutYDP:,,
S6,E5,UIButton,Email YDP,showComposer:,,
S6,E6,UIButton,Call YDP,OnCallYDP:,,
S6,E7,UIImageView,,,,
S6,E1,UITabBar,,itemClicked,2,
S6,E2,UIImageView,,,,
S6,E3,UILabel,Notify YDP,,,
S6,E4,UIButton,More About YDP,moreAboutYDP:,,
S6,E5,UIButton,Email YDP,showComposer:,,
S6,E6,UIButton,Call YDP,OnCallYDP:,,
S6,E7,UIImageView,,,,
S7,E1,UITabBar,,itemClicked,2,
S7,E2,UIImageView,,,,
S7,E3,UILabel,Notify YDP,,,
S7,E4,UIButton,More About YDP,moreAboutYDP:,,
S7,E5,UIButton,Email YDP,showComposer:,,
S7,E6,UIButton,Call YDP,OnCallYDP:,,
S7,E7,UIImageView,,,,
S8,E1,UITabBar,,itemClicked,2,
S8,E2,UIImageView,,,,
S8,E3,UILabel,Notify YDP,,,
S8,E4,UIButton,More About YDP,moreAboutYDP:,,
S8,E5,UIButton,Email YDP,showComposer:,,
S8,E6,UIButton,Call YDP,OnCallYDP:,,
S8,E7,UIImageView,,,,
S11,E1,UITabBar,,itemClicked,2,
S11,E2,UIImageView,,,,
S11,E3,UILabel,Notify YDP,,,
S11,E4,UIButton,More About YDP,moreAboutYDP:,,
S11,E5,UIButton,Email YDP,showComposer:,,
S11,E6,UIButton,Call YDP,OnCallYDP:,,
S11,E7,UIImageView,,,,
S12,E1,_MFMailComposePlaceholderView,,,,
S12,E2,MFHeaderLabelView,To:,,,
S12,E3,MFHeaderLabelView,Cc/Bcc:,,,
S12,E4,MFHeaderLabelView,Subject:,,,
S12,E5,UITextField,,textChanged:,,
S12,E6,UIImageView,,,,
S12,E7,UIImageView,,,,
S12,E8,UIButton,,RightBarButtonItem,,
S12,E9,UIButton,,LeftBarButtonItem,,
S12,E1,_MFMailComposePlaceholderView,,,,
S12,E2,MFHeaderLabelView,To:,,,
S12,E3,MFHeaderLabelView,Cc/Bcc:,,,
S12,E4,MFHeaderLabelView,Subject:,,,
S12,E5,UITextField,,textChanged:,,
S12,E6,UIImageView,,,,
S12,E7,UIImageView,,,,
S12,E8,UIButton,,RightBarButtonItem,,
S12,E9,UIButton,,LeftBarButtonItem,,
S12,E1,_MFMailComposePlaceholderView,,,,
S12,E2,MFHeaderLabelView,To:,,,
S12,E3,MFHeaderLabelView,Cc/Bcc:,,,
S12,E4,MFHeaderLabelView,Subject:,,,
S12,E5,UITextField,,textChanged:,,
S12,E6,UIImageView,,,,
S12,E7,UIImageView,,,,
S12,E8,UIButton,,RightBarButtonItem,,
S12,E9,UIButton,,LeftBarButtonItem,,
S12,E1,UITabBar,,itemClicked,2,
S12,E2,UIImageView,,,,
S12,E3,UILabel,Notify YDP,,,
S12,E4,UIButton,More About YDP,moreAboutYDP:,,
S12,E5,UIButton,Email YDP,showComposer:,,
S12,E6,UIButton,Call YDP,OnCallYDP:,,
S12,E7,UIImageView,,,,
S12,E1,UITabBar,,itemClicked,2,
S12,E2,UIImageView,,,,
S12,E3,UILabel,Notify YDP,,,
S12,E4,UIButton,More About YDP,moreAboutYDP:,,
S12,E5,UIButton,Email YDP,showComposer:,,
S12,E6,UIButton,Call YDP,OnCallYDP:,,
S12,E7,UIImageView,,,,
