TimeStamp,State_ID,State_ClassName,State_Title,State_ScreenshotPath,State_NumberOfElements
1415827395.868715,S1,YDPLogin,YDP Login,S-1415827395.868793-1.jpg,7,
1415827512.250641,S2,YDPViewController,Notify YDP,S-1415827512.250786-2.jpg,7,
1415827560.068091,S3,YDPHelpViewController,,S-1415827560.068218-3.jpg,2,
1415827576.387545,S4,YDPHelpViewController,,S-1415827576.387641-4.jpg,2,
1415827589.028673,S5,YDPHelpViewController,,S-1415827589.028764-5.jpg,2,
1415827613.224753,S6,YDPViewController,Notify YDP,S-1415827613.224852-6.jpg,7,
1415827613.244863,S6,YDPViewController,Notify YDP,S-1415827613.244899-6.jpg,7,
1415827641.070183,S7,YDPViewController,Notify YDP,S-1415827641.070280-7.jpg,7,
1415827676.752831,S8,YDPViewController,Notify YDP,S-1415827676.752919-8.jpg,7,
1415827692.895033,S9,_UIModalItemAppViewController,,S-1415827692.895121-9.jpg,,
1415827693.128363,S9,_UIModalItemAppViewController,,S-1415827693.128450-9.jpg,,
1415827704.967188,S10,_UIModalItemAppViewController,,S-1415827704.967283-10.jpg,,
1415827739.443038,S11,YDPViewController,Notify YDP,S-1415827739.443140-11.jpg,7,
1415827755.544470,S12,MFMailComposeInternalViewController,,S-1415827755.544561-12.jpg,9,
1415827755.822679,S12,MFMailComposeInternalViewController,,S-1415827755.822727-12.jpg,9,
1415827755.854288,S12,MFMailComposeInternalViewController,,S-1415827755.854356-12.jpg,9,
1415827768.544576,S12,YDPViewController,Notify YDP,S-1415827768.544667-12.jpg,7,
1415827768.563832,S12,YDPViewController,Notify YDP,S-1415827768.563870-12.jpg,7,
