State_ID,UIElement_ID,UIElement_Type,UIElement_Label,UIElement_Action,UIElement_Details
S1,E6,ViewPager,,,,
S1,E7,ImageView,,,,
S1,E8,ImageView,,,,
S1,E9,ImageView,,,,
S4,E6,Button,登录,,,
S4,E7,Button,,,,
S4,E8,Button,,,,
S4,E9,EditText,,,,
S4,E10,EditText,,,,
S4,E11,CheckBox,自动登录,,,
S4,E12,ImageButton,,,,
S4,E13,TextView,忘记密码？,,,
S4,E14,Button,,,,
S4,E15,Button,找回密码,,,
S4,E17,Button,,,,
S4,E18,ImageButton,,,,
S4,E19,ImageButton,,,,
S5,E6,Button,注册,,,
S5,E7,Button,,,,
S5,E8,Button,,,,
S5,E9,EditText,,,,
S5,E10,EditText,,,,
S5,E11,Button,点击获取验证码,,,
S5,E12,EditText,,,,
S5,E14,Button,,,,
S5,E15,ImageButton,,,,
S5,E16,ImageButton,,,,
