State_ID,UIElement_ID,UIElement_Type,UIElement_Label,UIElement_Action,UIElement_Details
S1,E6,ViewPager,,,,
S2,E6,ViewPager,,,,
S2,E7,ImageView,,,,
S2,E8,ImageView,,,,
S2,E9,ImageView,,,,
S3,E6,ViewPager,,,,
S3,E7,ImageView,,,,
S3,E8,ImageView,,,,
S4,E6,Button,登录,,,
S4,E7,Button,,,,
S4,E8,Button,,,,
S4,E9,EditText,,,,
S4,E10,EditText,,,,
S4,E11,CheckBox,自动登录,,,
S4,E12,ImageButton,,,,
S4,E13,TextView,忘记密码？,,,
S4,E14,Button,,,,
S4,E15,Button,找回密码,,,
S4,E17,Button,,,,
S4,E18,ImageButton,,,,
S4,E19,ImageButton,,,,
S5,E6,Button,注册,,,
S5,E7,Button,,,,
S5,E8,Button,,,,
S5,E9,EditText,,,,
S5,E10,EditText,,,,
S5,E11,Button,点击获取验证码,,,
S5,E12,EditText,,,,
S5,E14,Button,,,,
S5,E15,ImageButton,,,,
S5,E16,ImageButton,,,,
S6,E6,Button,注册,,,
S6,E7,Button,,,,
S6,E8,Button,,,,
S6,E9,EditText,,,,
S6,E10,EditText,,,,
S6,E11,Button,点击获取验证码,,,
S6,E12,EditText,,,,
S6,E14,Button,,,,
S6,E15,ImageButton,,,,
S6,E16,ImageButton,,,,
S7,E6,Button,登录,,,
S7,E7,Button,,,,
S7,E8,Button,,,,
S7,E9,EditText,,,,
S7,E10,EditText,,,,
S7,E11,CheckBox,自动登录,,,
S7,E12,ImageButton,,,,
S7,E13,TextView,忘记密码？,,,
S7,E14,Button,,,,
S7,E15,Button,找回密码,,,
S7,E17,Button,,,,
S7,E18,ImageButton,,,,
S7,E19,ImageButton,,,,
S8,E6,Button,登录,,,
S8,E7,Button,,,,
S8,E8,Button,,,,
S8,E9,EditText,,,,
S8,E10,EditText,,,,
S8,E11,CheckBox,自动登录,,,
S8,E12,ImageButton,,,,
S8,E13,TextView,忘记密码？,,,
S8,E14,Button,,,,
S8,E15,Button,找回密码,,,
S8,E17,Button,,,,
S8,E18,ImageButton,,,,
S8,E19,ImageButton,,,,
S9,E6,Button,登录,,,
S9,E7,Button,,,,
S9,E8,Button,,,,
S9,E9,EditText,,,,
S9,E10,EditText,,,,
S9,E11,CheckBox,自动登录,,,
S9,E12,ImageButton,,,,
S9,E13,TextView,忘记密码？,,,
S9,E14,Button,,,,
S9,E15,Button,找回密码,,,
S9,E17,Button,,,,
S9,E18,ImageButton,,,,
S9,E19,ImageButton,,,,
S10,E6,Button,登录,,,
S10,E7,Button,,,,
S10,E8,Button,,,,
S10,E9,EditText,,,,
S10,E10,EditText,,,,
S10,E11,CheckBox,自动登录,,,
S10,E12,ImageButton,,,,
S10,E13,TextView,忘记密码？,,,
S10,E14,Button,,,,
S10,E15,Button,找回密码,,,
S10,E17,Button,,,,
S10,E18,ImageButton,,,,
S10,E19,ImageButton,,,,
