TimeStamp,State_ID,State_ClassName,State_Title,State_ScreenshotPath,State_NumberOfElements
12/01/2014 5:25:52 PM,S1,GuidActivity ,,,1,
12/01/2014 5:25:54 PM,S2,GuidActivity ,,,4,
12/01/2014 5:25:54 PM,S3,GuidActivity ,,,3,
12/01/2014 5:26:00 PM,S4,SignInActivitiy ,,,13,
12/01/2014 5:26:02 PM,S5,RegisterActivity ,,,10,
12/01/2014 5:26:05 PM,S6,RegisterActivity ,,,10,
12/01/2014 5:26:08 PM,S7,SignInActivitiy ,,,13,
12/01/2014 5:26:10 PM,S8,SignInActivitiy ,,,13,
12/01/2014 5:26:14 PM,S9,SignInActivitiy ,,,13,
12/01/2014 5:26:19 PM,S10,SignInActivitiy ,,,13,
