State_ID,UIElement_ID,UIElement_Type,UIElement_Label,UIElement_Action,UIElement_Details
S1,E1,UIScrollView,,,,
S1,E2,UIImageView,,,,
S1,E3,UIImageView,,,,
S1,E4,UIImageView,,,,
S1,E5,UIImageView,,,,
S1,E6,UIButton,,removeTips,,
S1,E1,UIScrollView,,,,
S1,E2,UIImageView,,,,
S1,E3,UIImageView,,,,
S1,E4,UIImageView,,,,
S1,E5,UIImageView,,,,
S1,E6,UIButton,,removeTips,,
S6,E1,UIScrollView,,,,
S6,E2,UIImageView,,,,
S6,E3,UIButton,,bgBtnPressed:,,
S6,E4,UIImageView,,,,
S6,E5,UITextField,,,,
S6,E6,UIImageView,,,,
S6,E7,UITextField,,,,
S6,E8,UIButton,Button,loginBtnPressed:,,
S6,E9,UIButton,     自动登录,cookieBtnPressed:,,
S6,E10,UIImageView,,,,
S6,E11,UILabel,其它登录方式,,,
S6,E12,UIButton,,sinaBtnPressed:,,
S6,E13,UILabel,找回密码,,,
S6,E14,UIImageView,,,,
S6,E15,UIButton,,findMyPwBtnPressed:,,
S6,E16,UILabel,找回密码,,,
S6,E17,UIImageView,,,,
S6,E18,UIImageView,,,,
S6,E19,UIImageView,,,,
S6,E20,UILabel,登录,,,
S6,E21,UIImageView,,,,
S6,E22,UIImageView,,,,
S6,E23,UIImageView,,,,
S6,E24,UIButton,,buttonPressed:,,
S6,E25,UIButton,,buttonPressed:,,
S8,E1,UIButton,,bgBtnPressed:,,
S8,E2,UIButton,,bgBtnPressed:,,
S8,E3,UIImageView,,,,
S8,E4,UITextField,,,,
S8,E5,UIButton,,bgBtnPressed:,,
S8,E6,UIImageView,,,,
S8,E7,UITextField,,,,
S8,E8,UIButton,获取验证码,getCheckCodeBtnPressed:,,
S8,E9,UIButton,,bgBtnPressed:,,
S8,E10,UIImageView,,,,
S8,E11,UITextField,,,,
S8,E12,UIImageView,,,,
S8,E13,UILabel,显示密码,,,
S8,E14,UIButton,,showPwdBtnPressed:,,
S8,E15,UIImageView,,,,
S8,E16,UILabel,注册,,,
S8,E17,UIImageView,,,,
S8,E18,UIImageView,,,,
S8,E19,UIImageView,,,,
S8,E20,UIButton,,buttonPressed:,,
S8,E21,UIButton,,buttonPressed:,,
S20,E1,UIButton,,bgBtnPressed:,,
S20,E2,UIImageView,,,,
S20,E3,UITextField,,,,
S20,E4,UIImageView,,,,
S20,E5,UILabel,找回密码,,,
S20,E6,UIImageView,,,,
S20,E7,UIImageView,,,,
S20,E8,UIImageView,,,,
S20,E9,UIButton,,buttonPressed:,,
S20,E10,UIButton,,buttonPressed:,,
