TimeStamp,Source_State_ID,Target_State_ID,TouchedElement_Type,TouchedElement_Label,TouchedElement_Action,TouchedElement_Details,Methods
1417557873.951471,S0,S1,,,,,,
1417557904.701740,S1,S2,UIButton,跳过,_buttonClicked:,,,
1417557919.580998,S2,S3,UIScrollView,,,,,
1417557925.868063,S3,S4,UIScrollView,,,,,
1417557936.384845,S4,S5,UIScrollView,,,,,
1417557946.642733,S5,S6,UIButton,,removeTips,,,
1417557962.206383,S6,S7,UIButton,,joinBtnPressed:,,,
1417557974.920123,S7,S8,UIButton,,buttonPressed:,,,
1417557983.649779,S8,S9,UIButton,,buttonPressed:,,,
1417557989.691616,S9,S10,UIButton,,buttonPressed:,,,
1417557995.917036,S10,S11,UIButton,,buttonPressed:,,,
1417558003.589221,S11,S12,UIScrollView,,,,,
1417558009.692812,S12,S13,UIScrollView,,,,,
1417558015.562857,S13,S14,UIScrollView,,,,,
1417558021.874555,S14,S15,UIButton,,removeTips,,,
1417558059.587501,S15,S16,UIButton,Button,loginBtnPressed:,,,
1417558066.635555,S16,S17,UIButton,     自动登录,cookieBtnPressed:,,,
1417558075.845427,S17,S18,UIButton,,sinaBtnPressed:,,,
1417558090.013979,S18,S19,UIButton,,cancel,,,
1417558097.429150,S19,S20,UIButton,,findMyPwBtnPressed:,,,
1417558112.611753,S20,S21,UIButton,,buttonPressed:,,,
1417558121.915894,S21,S22,UIButton,,buttonPressed:,,,
1417558129.750011,S22,S23,TopView,,,,,
