State_ID,UIElement_ID,UIElement_Type,UIElement_Label,UIElement_Action,UIElement_Details
S1,E1,UIScrollView,,,,
S1,E2,UIImageView,,,,
S1,E3,UIImageView,,,,
S1,E4,UIImageView,,,,
S1,E5,UIImageView,,,,
S1,E6,UIButton,,removeTips,,
S1,E1,UIScrollView,,,,
S1,E2,UIImageView,,,,
S1,E3,UIImageView,,,,
S1,E4,UIImageView,,,,
S1,E5,UIImageView,,,,
S1,E6,UIButton,,removeTips,,
S2,E1,UIScrollView,,,,
S2,E2,UIImageView,,,,
S2,E3,UIImageView,,,,
S2,E4,UIImageView,,,,
S2,E5,UIImageView,,,,
S2,E6,UIButton,,removeTips,,
S3,E1,UIScrollView,,,,
S3,E2,UIImageView,,,,
S3,E3,UIImageView,,,,
S3,E4,UIImageView,,,,
S3,E5,UIImageView,,,,
S3,E6,UIButton,,removeTips,,
S4,E1,UIScrollView,,,,
S4,E2,UIImageView,,,,
S4,E3,UIImageView,,,,
S4,E4,UIImageView,,,,
S4,E5,UIImageView,,,,
S4,E6,UIButton,,removeTips,,
S5,E1,UIScrollView,,,,
S5,E2,UIImageView,,,,
S5,E3,UIImageView,,,,
S5,E4,UIImageView,,,,
S5,E5,UIImageView,,,,
S5,E6,UIButton,,removeTips,,
S6,E1,UIScrollView,,,,
S6,E2,UIImageView,,,,
S6,E3,UIButton,,bgBtnPressed:,,
S6,E4,UIImageView,,,,
S6,E5,UITextField,,,,
S6,E6,UIImageView,,,,
S6,E7,UITextField,,,,
S6,E8,UIButton,Button,loginBtnPressed:,,
S6,E9,UIButton,     自动登录,cookieBtnPressed:,,
S6,E10,UIImageView,,,,
S6,E11,UILabel,其它登录方式,,,
S6,E12,UIButton,,sinaBtnPressed:,,
S6,E13,UILabel,找回密码,,,
S6,E14,UIImageView,,,,
S6,E15,UIButton,,findMyPwBtnPressed:,,
S6,E16,UILabel,找回密码,,,
S6,E17,UIImageView,,,,
S6,E18,UIImageView,,,,
S6,E19,UIImageView,,,,
S6,E20,UILabel,登录,,,
S6,E21,UIImageView,,,,
S6,E22,UIImageView,,,,
S6,E23,UIImageView,,,,
S6,E24,UIButton,,buttonPressed:,,
S6,E25,UIButton,,buttonPressed:,,
S7,E1,UIScrollView,,,,
S7,E2,UIImageView,,,,
S7,E3,UIButton,,bgBtnPressed:,,
S7,E4,UIImageView,,,,
S7,E5,UITextField,,,,
S7,E6,UIImageView,,,,
S7,E7,UITextField,,,,
S7,E8,UIButton,Button,loginBtnPressed:,,
S7,E9,UIButton,     自动登录,cookieBtnPressed:,,
S7,E10,UIImageView,,,,
S7,E11,UILabel,其它登录方式,,,
S7,E12,UIButton,,sinaBtnPressed:,,
S7,E13,UILabel,找回密码,,,
S7,E14,UIImageView,,,,
S7,E15,UIButton,,findMyPwBtnPressed:,,
S7,E16,UILabel,找回密码,,,
S7,E17,UIImageView,,,,
S7,E18,UIImageView,,,,
