TimeStamp,State_ID,State_ClassName,State_Title,State_ScreenshotPath,State_NumberOfElements
1417557875.992851,S1,GuideViewController,,S-1417557875.992987-1.jpg,6,
1417557876.038207,S1,GuideViewController,,S-1417557876.038245-1.jpg,6,
1417557908.825209,S2,GuideViewController,,S-1417557908.825278-2.jpg,6,
1417557923.687476,S3,GuideViewController,,S-1417557923.687571-3.jpg,6,
1417557929.932236,S4,GuideViewController,,S-1417557929.932332-4.jpg,6,
1417557940.493323,S5,GuideViewController,,S-1417557940.493414-5.jpg,6,
1417557949.476382,S6,LoginViewController,,S-1417557949.476472-6.jpg,25,
1417557966.337063,S7,LoginViewController,,S-1417557966.337152-7.jpg,25,
1417557978.742636,S8,SignInViewController,,S-1417557978.742792-8.jpg,21,
1417557987.780883,S9,SignInViewController,,S-1417557987.780976-9.jpg,21,
1417557992.224890,S10,LoginViewController,,S-1417557992.224981-10.jpg,25,
1417557998.656504,S11,GuideViewController,,S-1417557998.656597-11.jpg,6,
1417558007.730489,S12,GuideViewController,,S-1417558007.730579-12.jpg,6,
1417558013.816805,S13,GuideViewController,,S-1417558013.816895-13.jpg,6,
1417558019.663358,S14,GuideViewController,,S-1417558019.663425-14.jpg,6,
1417558024.428171,S15,LoginViewController,,S-1417558024.428260-15.jpg,25,
1417558063.716409,S16,LoginViewController,,S-1417558063.716503-16.jpg,25,
1417558070.897959,S17,LoginViewController,,S-1417558070.898052-17.jpg,25,
1417558079.986070,S18,LoginViewController,,S-1417558079.986219-18.jpg,25,
1417558094.076236,S19,LoginViewController,,S-1417558094.076329-19.jpg,25,
1417558100.161162,S20,ChangePwViewController,,S-1417558100.161253-20.jpg,10,
1417558116.740152,S21,ChangePwViewController,,S-1417558116.740294-21.jpg,10,
1417558124.543803,S22,LoginViewController,,S-1417558124.543911-22.jpg,25,
1417558133.892825,S23,LoginViewController,,S-1417558133.892932-23.jpg,25,
