State_ID,UIElement_ID,UIElement_Type,UIElement_Label,UIElement_Action,UIElement_Details
S1,E1,UIImageView,,,,
S1,E2,UIWebView,,,,
S1,E3,UIImageView,,,,
S1,E4,UIButton,,,,
S1,E5,UILabel,No Volume Available,,,
S1,E6,UIButton,,_displayAudioRoutePicker,,
S2,E1,UIImageView,,,,
S2,E2,UIWebView,,,,
S2,E3,UIImageView,,,,
S2,E4,UIButton,,,,
S2,E5,UILabel,No Volume Available,,,
S2,E6,UIButton,,_displayAudioRoutePicker,,
S3,E1,UIImageView,,,,
S3,E2,UIWebView,,,,
S3,E3,UIImageView,,,,
S3,E4,UIButton,,,,
S3,E5,UILabel,No Volume Available,,,
S3,E6,UIButton,,_displayAudioRoutePicker,,
S4,E1,UIImageView,,,,
S4,E2,UIWebView,,,,
S4,E3,UIImageView,,,,
S4,E4,UIButton,,,,
S4,E5,UILabel,No Volume Available,,,
S4,E6,UIButton,,_displayAudioRoutePicker,,
