State_ID,UIElement_ID,UIElement_Type,UIElement_Label,UIElement_Action,UIElement_Details
S1,E8,ImageView,,,,
S1,E9,EditText,d.salskiy,,,
S1,E10,EditText,salskiy,,,
S1,E11,Button,Войти,,,
S2,E7,Button,,,,
S2,E8,TextView,,,,
S2,E9,TextView,Название:,,,
S2,E10,TextView,,,,
S2,E13,TextView,Действия,,,
S2,E14,TextView,Новости,,,
S2,E15,TextView,Настройки,,,
S2,E17,TextView,Задачи:,,,
S2,E20,TextView,Баги,,,
S2,E21,TextView,Задачи,,,
S2,E23,TextView,Участники:,,,
S2,E26,ListView,,,6,
S2,E29,Button,Home,,,
S2,E30,Button,My Page,,,
S2,E31,Button,Projects,,,
S3,E7,Button,,,,
S3,E8,TextView,,,,
S3,E9,TextView,Название:,,,
S3,E10,TextView,,,,
S3,E13,TextView,Действия,,,
S3,E14,TextView,Новости,,,
S3,E15,TextView,Настройки,,,
S3,E17,TextView,Задачи:,,,
S3,E20,TextView,Баги,,,
S3,E21,TextView,Задачи,,,
S3,E23,TextView,Участники:,,,
S3,E26,ListView,,,6,
S3,E27,TextView,”˜‡ÒÚÌËÍ 1,,,
S3,E28,TextView,”˜‡ÒÚÌËÍ 2,,,
S3,E29,TextView,”˜‡ÒÚÌËÍ 3,,,
S3,E30,TextView,”˜‡ÒÚÌËÍ 4,,,
S3,E31,TextView,”˜‡ÒÚÌËÍ 5,,,
S3,E32,TextView,”˜‡ÒÚÌËÍ 6,,,
S3,E35,Button,Home,,,
S3,E36,Button,My Page,,,
S3,E37,Button,Projects,,,
S4,E7,Button,,,,
S4,E8,TextView,,,,
S4,E9,TextView,Название,,,
S4,E10,TextView,,,,
S4,E11,Button,Обновить,,,
S4,E13,TextView,Задача номер,,,
S4,E16,TextView,Задача:,,,
S4,E17,TextView,Приоритет:,,,
S4,E18,TextView,Назначена:,,,
S4,E19,TextView,Категория:,,,
S4,E20,TextView,Версия:,,,
S4,E21,TextView,Начата:,,,
S4,E22,TextView,Дата выполнения:,,,
S4,E23,TextView,Готовность:,,,
S4,E24,TextView,Затраченное время:,,,
S4,E26,Button,Home,,,
S4,E27,Button,My Page,,,
S4,E28,Button,Projects,,,
S5,E7,TextView,Проекты:,,,
S5,E10,ListView,,,6,
S5,E13,Button,Home,,,
S5,E14,Button,My Page,,,
S5,E15,Button,Projects,,,
S6,E7,TextView,Последние проекты:,,,
S6,E10,ListView,,,6,
S6,E12,Button,Home,,,
S6,E13,Button,My Page,,,
S6,E14,Button,Projects,,,
