State_ID,UIElement_ID,UIElement_Type,UIElement_Label,UIElement_Action,UIElement_Details
S1,E1,UIImageView,,,,
S1,E2,UITextField,,,,
S1,E3,UITextField,,,,
S1,E4,UIButton,Войти,perform:,,
S2,E1,UITabBar,,itemClicked,3,
S2,E2,UILabel,First View,,,
S2,E3,UITextView,,,,
S2,E4,UIImageView,,,,
S2,E1,UITabBar,,itemClicked,3,
S2,E2,UILabel,First View,,,
S2,E3,UITextView,,,,
S2,E4,UIImageView,,,,
S3,E1,UITabBar,,itemClicked,3,
S3,E2,UILabel,Second View,,,
S3,E3,UITextView,,,,
S3,E4,UIImageView,,,,
S4,E1,UITabBar,,itemClicked,3,
S5,E1,UITabBar,,itemClicked,3,
S6,E1,UITabBar,,itemClicked,3,
S6,E2,UILabel,First View,,,
S6,E3,UITextView,,,,
S6,E4,UIImageView,,,,
S7,E1,UITabBar,,itemClicked,3,
S7,E2,UILabel,First View,,,
S7,E3,UITextView,,,,
S7,E4,UIImageView,,,,
